,,,,,2022 ESPN Fantasy Football Draft Kit,,,,,,,,,,
,,,,,,,PPR Top 300 Cheat Sheet,,,,,,,,
,RANKINGS 1-80,,,,RANKINGS 81-160,,,,RANKINGS 161-240,,,,RANKINGS 241-300,,
70. (WR34),"Rashod Bateman, BAL",$6,10,150. (DST10),"Commanders D/ST, WAS",$1,14,230. (WR86),"Randall Cobb, GB",$0,14,,"Browns, Cowboys",,
71. (WR35),"Drake London, ATL",$6,14,151. (K1),"Justin Tucker, BAL",$1,10,231. (WR87),"Corey Davis, NYJ",$0,10,9,"Broncos, Giants",,
72. (WR36),"Christian Kirk, JAC",$6,11,152. (K2),"Evan McPherson, CIN",$1,10,232. (WR88),"A.J. Green, ARI",$0,13,,"Steelers, 49ers",,
73. (WR37),"Tyler Lockett, SEA",$6,11,153. (K3),"Matt Gay, LAR",$1,7,233. (WR89),"Chris Conley, HOU",$0,6,,"Ravens, Bengals",,
,,,,,,,,,,,,10,,,
74. (WR38),"DeVonta Smith, PHI",$5,7,154. (K4),"Harrison Butker, KC",$1,8,234. (WR90),"Parris Campbell, IND",$0,14,,"Patriots, Jets",,
75. (WR39),"Elijah Moore, NYJ",$5,10,155. (K5),"Daniel Carlson, LV",$1,6,235. (RB72),"Gus Edwards, BAL",$0,10,,"Jaguars, Dolphins",,
,,,,,,,,,,,,11,,,
76. (QB6),"Jalen Hurts, PHI",$5,7,156. (K6),"Brandon McManus, DEN",$1,9,236. (RB73),"Damien Williams, ATL",$0,14,,"Seahawks, Buccaneers",,
77. (TE6),"Dalton Schultz, DAL",$5,9,157. (K7),"Nick Folk, NE",$1,10,237. (RB74),"Samaje Perine, CIN",$0,10,13,"Cardinals, Panthers",,
78. (TE7),"T.J. Hockenson, DET",$4,6,158. (K8),"Tyler Bass, BUF",$1,7,238. (RB75),"Matt Breida, NYG",$0,9,,"Falcons, Bears",,
79. (RB27),"Kareem Hunt, CLE",$4,9,159. (K9),"Matt Prater, ARI",$1,13,239. (RB76),"Boston Scott, PHI",$0,7,14,"Packers, Colts",,
80. (RB28),"Rhamondre Stevenson, NE",$4,10,160. (K10),"Graham Gano, NYG",$1,9,240. (RB77),"Chris Evans, CIN",$0,10,,"Saints, Commanders",,
,,,,,Position,,,,"Rankings are based on a 10-team league with 1 QB, 2 RB, 2 WR, 1 TE, 1 Flex, 1 K, 1",,,,,,
,,,,1. (RB1),"Jonathan Taylor, IND",$61,14,,,,"D/ST, 7 bench",,,,
,,,,,,,,,"Decimal Scoring: 1 pt per 10 yds, 6 pts per TD rushing/receiving;",,,,,,
,,Overall Rank (Positional Rank),,,Auction Value,,Bye week,,"1 pt per 25 yds and 4 pts per TD passing, 1 PPR",,,,,,
,,,,,10 teams/$200,,,,Last Update:,,,"Friday, August 26, 2022",,,
